"recording.site","year","month","day","time","complete.date","H","aci","ndsi","aei","trt"
"LA00",2009,6,1,53000,"20090601053000",0.901649950632542,2515.43589155056,-0.0566065509463507,0.285357,0
"LA00",2010,6,1,53000,"20100601053000",0.831925376355726,1762.91091227584,0.452553674149178,0.420238,0
"LA00",2011,6,1,53000,"20110601053000",0.668223948631469,1715.42767410768,0.11058286793891,0.731445,0
"LA00",2012,6,1,53000,"20120601053000",0.916714502112744,1848.95487080618,0.918480245473819,0.391387,0
"LA00",2013,6,1,53000,"20130601053000",0.885099746781647,1871.97010422884,0.981636426586228,0.402025,0
"LA00",2014,6,1,53000,"20140601053000",0.856537608226992,1923.68498691923,0.973544726608167,0.524982,0
"LA00",2015,6,1,53000,"20150601053000",0.890723968653687,2018.6223579954,0.871630292545021,0.436158,0
"LA00",2016,6,1,53000,"20160601053000",0.886653555468474,1866.73787789322,0.70980719069684,0.362068,0
"LA00",2017,6,1,53000,"20170601053000",0.871744568922362,1942.64677303139,0.979891656500525,0.277453,0
"LA00",2018,6,1,53000,"20180601053000",0.685116537594269,1857.43338163367,0.840543252330541,0.747126,0
"LA00",2009,6,1,60000,"20090601060000",0.920769806460941,2380.26645899777,-0.0923797252210529,0.03431,0
"LA00",2010,6,1,60000,"20100601060000",0.881874655467484,1900.5585838405,0.872085875593598,0.339192,0
"LA00",2011,6,1,60000,"20110601060000",0.543441671959165,1717.63101774768,0.115812391121263,0.84134,0
"LA00",2012,6,1,60000,"20120601060000",0.90012666747627,1795.73878909151,0.840895584256699,0.390761,0
"LA00",2013,6,1,60000,"20130601060000",0.909200564777034,1805.78366324182,0.891435478079841,0.257727,0
"LA00",2014,6,1,60000,"20140601060000",0.87140297007109,1864.58337300758,0.358732057693252,0.632386,0
"LA00",2015,6,1,60000,"20150601060000",0.940763416236426,1880.97948830859,0.905805231981079,0.008255,0
"LA00",2016,6,1,60000,"20160601060000",0.87465705040254,1914.08957614697,0.91461681396603,0.360255,0
"LA00",2017,6,1,60000,"20170601060000",0.849224783005117,1902.86640384974,0.969992898847904,0.45879,0
"LA00",2018,6,1,60000,"20180601060000",0.75246802663696,1921.92227906307,0.910776362518086,0.539785,0
"LA00",2009,6,1,63000,"20090601063000",0.861057389700592,2167.02786059139,0.256316040800863,0.294022,0
"LA00",2010,6,1,63000,"20100601063000",0.921339640710734,1814.94250846806,0.739295602635783,0.281557,0
"LA00",2011,6,1,63000,"20110601063000",0.66585445743534,1670.55219253532,0.117943668366912,0.866972,0
"LA00",2012,6,1,63000,"20120601063000",0.916874145997383,1763.34701169522,0.930443239660245,0.236634,0
"LA00",2013,6,1,63000,"20130601063000",0.869066611621595,1821.77745781804,0.986258816430125,0.519051,0
"LA00",2014,6,1,63000,"20140601063000",0.890588694872597,1874.77852733952,0.252599457148892,0.658255,0
"LA00",2015,6,1,63000,"20150601063000",0.92060586309949,1926.8762596642,0.412858981557905,0.051968,0
"LA00",2016,6,1,63000,"20160601063000",0.843132075331563,1885.24539247201,0.884962070511078,0.123025,0
"LA00",2017,6,1,63000,"20170601063000",0.805106617352661,1911.1323797642,0.865971960962049,0.324492,0
"LA00",2018,6,1,63000,"20180601063000",0.68857097972553,1925.14187383049,0.855981962154369,0.661431,0
"LA00",2009,6,1,70000,"20090601070000",0.903751565409204,2348.39701671163,-0.0781328404069041,0.173061,0
"LA00",2010,6,1,70000,"20100601070000",0.880161891829342,1764.67375395917,0.57792350525892,0.340598,0
"LA00",2011,6,1,70000,"20110601070000",0.679951332098391,1716.25914008867,0.160209366167433,0.735895,0
"LA00",2012,6,1,70000,"20120601070000",0.917291107943815,1770.37882702053,0.945261538601155,0.151625,0
"LA00",2013,6,1,70000,"20130601070000",0.895205752882121,1820.34663557877,0.899359718508757,0.263422,0
"LA00",2014,6,1,70000,"20140601070000",0.878657482574681,1937.93481147491,0.230020349554721,0.613161,0
"LA00",2015,6,1,70000,"20150601070000",0.907548770133176,1893.47653174414,0.3176936205853,0.401761,0
"LA00",2016,6,1,70000,"20160601070000",0.868801023428147,1913.50081647865,0.837653196583819,0.15498,0
"LA00",2017,6,1,70000,"20170601070000",0.722768691539861,1920.62236155626,0.864030738700929,0.747316,0
"LA00",2018,6,1,70000,"20180601070000",0.886697845433935,1806.9782079357,0.59317635386132,0.318457,0
"LA00",2009,6,1,73000,"20090601073000",0.917302478046566,2362.9852399524,-0.136644542424126,0.03555,0
"LA00",2010,6,1,73000,"20100601073000",0.880298171368577,1724.71850234624,0.760532975998867,0.509937,0
"LA00",2011,6,1,73000,"20110601073000",0.652488540330391,1712.43384422335,0.114155783929453,0.773989,0
"LA00",2012,6,1,73000,"20120601073000",0.9092077503337,1787.40550844169,0.80945386648936,0.489587,0
"LA00",2013,6,1,73000,"20130601073000",0.943507786229668,1894.63693242211,0.244936180496234,0.016785,0
"LA00",2014,6,1,73000,"20140601073000",0.886274777100252,1853.0258297423,0.124921043799106,0.410437,0
"LA00",2015,6,1,73000,"20150601073000",0.902872051634613,1933.36168536471,0.888716395908939,0.039549,0
"LA00",2016,6,1,73000,"20160601073000",0.853345644132842,1921.06556697504,0.951322249530564,0.191672,0
"LA00",2017,6,1,73000,"20170601073000",0.823205776573304,1905.74615482138,0.968609316253305,0.383533,0
"LA00",2018,6,1,73000,"20180601073000",0.705819144407803,1867.91997973407,0.708263545194741,0.683386,0
"LA00",2009,6,2,53000,"20090602053000",0.883710985990517,1916.86412284551,0.974104232650125,0.346692,0
"LA00",2010,6,2,53000,"20100602053000",0.910865873600062,1773.09353166019,0.872680315507143,0.098537,0
