"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.914927568625468 0.336707468426851 0.175479124494258 0.0998385581551733 0.0635447374396756 0.0430651802874253 0.0343085751328432 0.0267229870410798 0.0241114444948316 0.0202450615647015
"2" 0.505134463181004 0.770884700719184 0.339154327391881 0.171190948722914 0.065104307922002 0.0434548958848182 0.00742454157074592 0.00427879313563175 0.00453914639653103 0.00479780846179701
"3" 0.857564027395309 0.367077790635968 0.272968831439068 0.166582396369498 0.131631851205197 0.084034568146021 0.0478084417697031 0.0258751114539059 0.0130391881935762 0.00788764862279691
"4" 0.0884651743630834 0.689615004642262 0.434296828070599 0.221529488481836 0.416328694649608 0.244879695075841 0.213127707244414 0.0139468482436697 0.0011827990419768 0.00101435896287908
"5" 0.0117825728169564 0.920557564808881 0.385391252842478 0.0490344184097616 0.0293921225291237 0.0247643816313491 0.00484590071350651 0.00173959225946402 0.000401600656816239 0.000554267340978012
"6" 0.0144814948674263 0.0190959973628918 0.999513140318725 0.0195488020135607 0.00377256222855459 0.000934089398755758 0.00076061550923504 0.000551280640624448 0.000631922267463864 0.000754546442853546
"7" 0.0783779957182249 0.982672259285734 0.163793017378243 0.0340911622782141 0.0134639687258056 0.00505985602837672 0.00275387433577404 0.00154664198607215 0.00156878786131429 0.00156304593486811
"8" 0.345820974904144 0.899103916475568 0.152287063601972 0.215865990054216 0.0414498743118779 0.0160835415642131 0.0109925090572014 0.00899010316135811 0.00696420954983546 0.00189617442416866
"9" 0.0150791137519928 0.847364930171358 0.512435736409646 0.122887045851917 0.0570945779685627 0.0216769277519722 0.0169973212851449 0.00471048206066347 0.00315914289986434 0.00171104356703994
"10" 0.0943525498059965 0.117299568809144 0.961923560125248 0.197807015052162 0.101724152285838 0.0390292610698292 0.0274920986773913 0.0142490707073177 0.0084179760823012 0.00361338753217306
"11" 0.924427504655666 0.314920662378822 0.167118133952227 0.104096825060286 0.062164570778021 0.0404571176192642 0.029339231588477 0.0226755255156976 0.0187438727900008 0.0163288211092933
"12" 0.158749309721004 0.473665796615235 0.177196493641552 0.062634225487728 0.528875205525628 0.476223746664901 0.426197408281621 0.164187722177518 0.00297057805829914 0.00300383713068974
"13" 0.824877813124852 0.380743982667779 0.306272489554397 0.21563871937862 0.141806541607204 0.0969898880998086 0.0574979259193979 0.032709963390346 0.0171429435984208 0.0110340646219973
"14" 0.108866905517174 0.96827849729204 0.188829058050301 0.0859343621765935 0.0595496249297785 0.0547472769110683 0.0315913436394358 0.00107043411856173 0.00074548535906322 0.000695750744988074
"15" 0.11399637528226 0.495633482810044 0.698373196166364 0.413102162247197 0.263580805194151 0.098938117311802 0.0595164213517523 0.0121470685884072 0.00343663874500108 0.00293282585303294
"16" 0.673693665532631 0.610388324383397 0.362625565810546 0.164857405902417 0.0714300774573277 0.0548777452517901 0.0435644279141192 0.0356286220985802 0.0378898603608924 0.0465934621762332
"17" 0.127965239775597 0.568799722239515 0.372861110009437 0.290726037221988 0.376031261426634 0.376146399550836 0.351078945850258 0.0921902367778476 0.100347629227999 0.108784195450569
"18" 0.097099241812841 0.477124397754751 0.483716045318942 0.720876964407305 0.0893343547006144 0.0220203594151985 0.0139651810210106 0.0192399884515153 0.0154263674677159 0.00324601079591939
"19" 0.0192934879567588 0.939192654931865 0.340734320233383 0.0296766468834751 0.0156580713619245 0.0126952058527566 0.0111526612886815 0.00450657229377537 0.0031567586595375 0.001827092234273
"20" 0.0779874190767848 0.374507506281076 0.607192838600457 0.470054149559502 0.453992085219481 0.226786751458696 0.0779898215453407 0.0170788117473598 0.00958285928126979 0.0045902170519355
"21" 0.747681888364431 0.487629972536659 0.404354700995524 0.174477196693143 0.0687089322486402 0.0526050340627863 0.0302679688592239 0.0204112960199422 0.0182435677702036 0.00948586443396545
"22" 0.305174960230412 0.811286842208992 0.211482473476743 0.149389956232925 0.231147780100546 0.332728787152062 0.123207167722563 0.0374915607456314 0.0236224746153682 0.0189293697308238
"23" 0.835629546170225 0.420296540988689 0.277663696358946 0.169069335449823 0.112336921568101 0.065173738877913 0.0421231404395693 0.0229397235786376 0.0123990315959878 0.00842524097763523
"24" 0.0564017187375567 0.892538139193634 0.417675426521286 0.0693906295394133 0.0918702305830136 0.105049427479791 0.0375463999292459 0.00445267045965442 0.00352742273771596 0.00302856506486386
"25" 0.00868077854398357 0.033964357617249 0.0316662763074367 0.976400806065222 0.210693402419324 0.00388737211169073 0.00148994539261158 0.000492628852095826 0.000611654778345185 0.000348035245587063
"26" 0.785949707389342 0.530774941085677 0.206416888812647 0.101039925009246 0.122980409494701 0.103112735489529 0.108508092879287 0.047987854271881 0.0556600139561231 0.0693738139790793
"27" 0.749083750612324 0.299617026046709 0.162230686510133 0.21060671469868 0.295255968395759 0.309306080014496 0.295626689040447 0.0521464641301091 0.0517461195417436 0.0528279893674753
"28" 0.117898609555362 0.974280089635324 0.125559321210712 0.126557613754123 0.0462487528376728 0.0408366891766015 0.0240065488244985 0.0203496542335885 0.0166685560553648 0.00462667983089877
"29" 0.155677393920376 0.718631383143494 0.327079651555696 0.326292280279959 0.34006762822824 0.295477654259326 0.20214382101366 0.0384376765550213 0.0211909098531835 0.0120026498160567
